ap,lat,lon
KLCH,30.1260833,-93.2234167
KINF,28.8036128,-82.3182908
KMEI,32.3326111,-88.7518611
KTBR,32.48275,-81.7369444
KATY,44.9139722,-97.1547222
KIPT,41.2416667,-76.9218056
KHHR,33.9228611,-118.3350833
KHYI,29.89275,-97.863
KMKJ,36.8948611,-81.3499444
KHLG,40.1750114,-80.6462683
KVYS,41.3501389,-89.1529444
KJTC,34.1294167,-109.3108611
KACV,40.9778333,-124.1084722
KDTN,32.5408222,-93.7438336
KLDM,43.9625278,-86.4079167
KDKK,42.4939444,-79.2711111
KPVG,36.7807648,-76.4512804
KHIB,47.3865833,-92.8389722
KYKM,46.5681667,-120.5440556
KRNV,33.7625278,-90.7579444
KMDQ,34.8593611,-86.5575278
KMBT,35.8786583,-86.3774708
KANB,33.5881667,-85.8581111
KFQD,35.4282222,-81.9350778
KWMC,40.8966111,-117.8058889
KMUT,41.3678889,-91.1482222
KFSM,35.3365833,-94.3674444
KPEQ,31.3823889,-103.5107222
KHFY,39.6276111,-86.0880278
KRSN,32.5146018,-92.5884434
KINL,48.5655833,-93.4021667
KBMQ,30.7389272,-98.2386103
KWYS,44.6883889,-111.1176389
KOCW,35.5704722,-77.0498056
KGTF,47.4822993,-111.3702794
KAWM,35.1350556,-90.2344444
KSLR,33.1598333,-95.6211389
KSTC,45.5462222,-94.0593889
KOGD,41.1950704,-112.0121947
KASX,46.5485278,-90.9189722
KBGF,35.1775336,-86.0661664
KMKT,44.2227778,-93.9193056
KBWD,31.7936111,-98.9565
KPTT,37.7025278,-98.747
KCPF,37.3873611,-83.2616111
KLMT,42.1561439,-121.7332047
KCFO,39.7841944,-104.5376389
KLXT,38.9590978,-94.371895
KFAY,34.9912222,-78.8802778
KSUX,42.4013094,-96.3844181
KCCR,37.9896567,-122.0569022
KARM,29.2542778,-96.1543889
KGKT,35.8577589,-83.5287047
KBML,44.5753611,-71.1759167
KALN,38.8899167,-90.046
KGVQ,43.03175,-78.1696667
KSLE,44.9095278,-123.0025
KGBG,40.9380005,-90.4311236
KVGC,42.8434444,-75.5611944
KPAN,34.2568364,-111.3392558
KGRD,34.2503938,-82.1578093
KAZO,42.2343889,-85.5515556
KGCK,37.9275278,-100.7244167
KLQK,34.8099722,-82.7028889
KRIF,38.7341111,-112.1015833
KHRL,26.2271111,-97.6551389
